Vaage
Vagn
Valde
Valdemar
Valther
Våge
Verner
Victor
Viggo
Vigil
Viking
Viktor
Vildfred
Vilhelm
Villads
Villi
Villum
Villy
Vilmar
Virgil
Virtus
Vito
Volmer
