Balder
Baldur
Bart
Bastian
Behrendt
Ben
Bendt
Benjamin
Benn
Benny
Bent
Bernard
Bernhard
Bernhardt
Bert
Bertil
Bertram
Bill
Billy
Birger
Birk
Bjarke
Bjarne
Bjørk
Bjørn
Bo
Bob
Bobbi
Bobby
Boris
Borris
Børge
Brandur
Brett
Brian
Bryan
Buster
