Mads
Magnus
Malte
Malthe
Marcus
Mario
Marius
Mark
Markus
Martin
Mathias
Maurits
Mårten
Melvin
Michael
Michel
Mick
Mickey
Micki
Micky
Mico
Mik
Mike
Mikkel
Mikki
Mikko
Milas
Morten
