Jack
Jackie
Jacob
Jakob
Jalte
James
Jan
Jannik
Janus
Jarl
Jason
Jasper
Jay
Jean
Jeff
Jens
Jeppe
Jerry
Jesper
Jess
Jim
Jimmi
Jimmy
Joachim
Joe
Johan
Johannes
John
Johnny
Jokum
Jon
Jonas
Jonathan
Jørgen
Jørn
Julius
Jussi
Justin
