Ragn
Ras
Rasmus
Ravn
Reimer
Remy
Rene
René
Rex
Ricard
Ricco
Richard
Rickey
Ricki
Ricky
Rico
Rikki
Robbert
Robert
Rocco
Rocky
Roger
Rolf
Romeo
Ronaldo
Ronnie
Roy
Ruddi
Rudi
Rune
