Ebbe
Eddi
Eddy
Edgar
Edmond
Edvardt
Edvin
Edvind
Eg
Egil
Eigil
Eik
Eilif
Einar
Eliot
Elliot
Emil
Emilio
Eric
Erik
Ervin
Esben
Esbjørn
Esger
Eske
Eskil
Eskild
Espen
Evald
Evan
Even
