Kaj
Kaleb
Kalle
Kalvin
Karl
Karlo
Karsten
Kasmir
Kasper
Kåre
Keld
Kell
Kelvin
Kenn
Kenneth
Kenni
Kenny
Kent
Kevin
Kim
Kimmo
Kimmy
Kjeld
Kjell
Klaes
Klaus
Knud
Konrad
Kresten
Kris
Krister
Kristian
Kristoffer
Kuno
Kurt
