Lance
Lars
Lasse
Lau
Laurits
Laus
Laust
Leif
Lennart
Lennert
Lenni
Lennon
Lenny
Leo
Leon
Leonard
Leonardo
Leopold
Liam
Linus
Loke
Loui
Louie
Louis
Lucas
Ludvig
Ludwig
Lukas
Luke
Lyn
