Calle
Calvin
Carl
Carlo
Carlos
Carly
Carsten
Casper
Castello
Cæsar
Charles
Charlie
Chris
Christer
Christian
Christof
Christoffer
Christopher
Cilas
Cimmi
Claes
Clark
Clas
Claude
Claudio
Claus
Clement
Cliff
Conrad
Constantin
Cornelius
Cris
Crister
Cuno
Curt
