Tage
Tais
Tammes
Teddy
Teodor
Terkel
Theis
Theo
Thim
Thoke
Thomas
Thor
Thorbjørn
Thorkil
Thøger
Thue
Timmi
Timmo
Tino
Tobias
Toke
Tonni
Tonny
Torben
Torbjørn
Torkild
Torsten
Tristan
Troels
Tyge
