Halfdan
Hannibal
Hans
Harald
Hardy
Harley
Hartvig
Håkon
Heine
Heino
Heinz
Hektor
Helfred
Helge
Helmer
Henning
Henri
Henrik
Henry
Herluf
Hermann
Hermod
Herold
Hjalmer
Hjalte
Holger
Hubert
Hugo
