Aabjørn
Aage
Abel
Absalon
Adam
Adrian
Aksel
Alan
Albert
Alex
Alexander
Alf
Alfred
Allan
Alvin
Amadeus
Amand
Amandus
Ambjørn
Ambrosius
Amdi
Ammund
Amund
Ancher
Anders
Andi
Andreas
Andrew
André
Andy
Anfred
Angel
Angelo
Angus
Anker
Anton
Aqqaluk
Arent
Arild
Armin
Arn
Arnbjørn
Arndt
Arne
Arnfred
Arno
Arnold
Arnt
Aron
Arthur
Artur
Arved
Arvid
Asbjørn
Asfred
Asgar
Asger
Ask
Aske
Asker
Asmund
Asmus
Asser
August
Augustus
Axel
