Sander
Saxo
Sebastian
Sejr
Shaun
Silas
Simon
Sinius
Sinus
Skjalm
Skjold
Sofus
Sonny
Søren
Staffan
Steen
Stefan
Steff
Steffan
Steffen
Sten
Stephen
Steve
Steven
Stig
Stiig
Storm
Sune
Sven
Svenåge
Svend
Svende
Sylvester
